contour_index,contour_type,area,centroid,interval_range
223,external,1179.7,"(593, 151)","(941.64, 1322.48]"
224,internal,1025.3,"(593, 151)","(941.64, 1322.48]"
225,external,1102.0,"(503, 150)","(941.64, 1322.48]"
226,internal,941.0,"(502, 150)","(622.3, 941.64]"
227,external,444.2,"(997, 126)","(382.48, 622.3]"
229,internal,290.8,"(998, 125)","(243.72, 382.48]"
230,external,2381.3,"(918, 134)","(1773.48, 2530.05]"
231,internal,196.6,"(951, 99)","(143.0, 243.72]"
232,internal,88.1,"(931, 107)","(60.499, 97.34]"
233,internal,1790.1,"(912, 141)","(1773.48, 2530.05]"
234,external,67.3,"(939, 46)","(60.499, 97.34]"
245,internal,783.4,"(167, 805)","(622.3, 941.64]"
249,internal,563.8,"(409, 781)","(382.48, 622.3]"
252,internal,1690.3,"(59, 790)","(1322.48, 1773.48]"
254,internal,1193.0,"(347, 744)","(941.64, 1322.48]"
256,internal,245.4,"(58, 712)","(243.72, 382.48]"
258,internal,1856.5,"(165, 729)","(1773.48, 2530.05]"
260,internal,394.6,"(276, 695)","(382.48, 622.3]"
262,internal,1681.8,"(422, 710)","(1322.48, 1773.48]"
265,internal,216.5,"(158, 672)","(143.0, 243.72]"
266,internal,115.8,"(213, 659)","(97.34, 143.0]"
268,internal,546.7,"(325, 636)","(382.48, 622.3]"
271,internal,1622.6,"(241, 606)","(1322.48, 1773.48]"
276,internal,219.8,"(291, 563)","(143.0, 243.72]"
278,internal,3226.8,"(64, 620)","(2530.05, 37227.9]"
280,internal,68.4,"(64, 531)","(60.499, 97.34]"
281,internal,302.2,"(183, 551)","(243.72, 382.48]"
286,internal,944.2,"(248, 529)","(941.64, 1322.48]"
288,internal,1007.4,"(134, 552)","(941.64, 1322.48]"
289,internal,213.5,"(96, 513)","(143.0, 243.72]"
291,internal,1313.3,"(167, 478)","(941.64, 1322.48]"
292,internal,106.1,"(120, 439)","(97.34, 143.0]"
294,internal,1622.7,"(55, 475)","(1322.48, 1773.48]"
295,internal,262.7,"(105, 418)","(243.72, 382.48]"
296,internal,2203.0,"(262, 445)","(1773.48, 2530.05]"
297,internal,413.5,"(214, 398)","(382.48, 622.3]"
299,internal,134.6,"(268, 340)","(97.34, 143.0]"
304,internal,2370.2,"(348, 388)","(1773.48, 2530.05]"
305,internal,2692.8,"(125, 361)","(2530.05, 37227.9]"
306,internal,766.4,"(212, 343)","(622.3, 941.64]"
310,internal,1357.2,"(137, 260)","(1322.48, 1773.48]"
311,internal,2216.3,"(293, 251)","(1773.48, 2530.05]"
319,internal,1214.9,"(43, 206)","(941.64, 1322.48]"
322,internal,1783.8,"(206, 206)","(1773.48, 2530.05]"
324,internal,794.9,"(306, 144)","(622.3, 941.64]"
325,internal,203.6,"(135, 130)","(143.0, 243.72]"
327,internal,2061.5,"(213, 109)","(1773.48, 2530.05]"
329,internal,3243.9,"(69, 106)","(2530.05, 37227.9]"
330,external,1931.1,"(1090, 122)","(1773.48, 2530.05]"
331,internal,1693.2,"(1090, 123)","(1322.48, 1773.48]"
332,external,6281.8,"(746, 164)","(2530.05, 37227.9]"
336,internal,244.8,"(815, 174)","(243.72, 382.48]"
339,internal,1711.7,"(680, 195)","(1322.48, 1773.48]"
341,internal,1758.0,"(767, 203)","(1322.48, 1773.48]"
347,internal,412.9,"(819, 118)","(382.48, 622.3]"
348,internal,755.1,"(760, 109)","(622.3, 941.64]"
350,internal,357.9,"(775, 46)","(243.72, 382.48]"
351,external,1307.3,"(582, 51)","(941.64, 1322.48]"
352,internal,1148.3,"(582, 51)","(941.64, 1322.48]"
353,external,1383.4,"(682, 60)","(1322.48, 1773.48]"
355,internal,1184.7,"(682, 61)","(941.64, 1322.48]"
356,external,3089.1,"(1214, 65)","(2530.05, 37227.9]"
357,internal,246.4,"(1187, 117)","(243.72, 382.48]"
358,internal,2497.2,"(1218, 58)","(1773.48, 2530.05]"
359,external,981.6,"(999, 37)","(941.64, 1322.48]"
360,internal,858.6,"(999, 37)","(622.3, 941.64]"
361,external,1267.0,"(869, 36)","(941.64, 1322.48]"
362,internal,1123.3,"(869, 36)","(941.64, 1322.48]"
363,external,4015.5,"(386, 52)","(2530.05, 37227.9]"
366,internal,1305.8,"(445, 52)","(941.64, 1322.48]"
367,internal,2250.2,"(349, 52)","(1773.48, 2530.05]"
368,external,124.9,"(251, 21)","(97.34, 143.0]"
